filename,pose_id,pose_name,keypoints,angles
Akarna_Dhanurasana_0_15.jpg,35,Shooting Bow,"[[(81, 148, 0.16981755), (89, 149, 0.1518357), (99, 143, 0.1112294)]]","[-30.96375653207352, -172.8749836510982]"
Akarna_Dhanurasana_0_162.jpg,35,Shooting Bow,"[[(97, 94, 0.385874), (87, 119, 0.122036844), (60, 119, 0.13037048), (101, 122, 0.12907904), (92, 89, 0.37457412), (100, 89, 0.3375049), (79, 89, 0.2502567)]]","[180.0, -66.5713071912546, 4.1849161251184155, -105.25511870305779, 180.0, -68.19859051364818]"
Akarna_Dhanurasana_0_18.jpg,35,Shooting Bow,"[[(89, 75, 0.6948699), (90, 95, 0.21013771), (79, 101, 0.14944609), (153, 129, 0.24972147), (100, 90, 0.17624384), (80, 74, 0.6759062), (90, 70, 0.7344018), (71, 79, 0.4307683)]]","[151.3895403340348, -115.46334506187162, 20.72555886556054, -143.65254179111471, -21.80140948635181, 154.65382405805332, -92.86240522611175]"
Akarna_Dhanurasana_0_305.jpg,35,Shooting Bow,"[[(102, 104, 0.7755196), (88, 118, 0.76359004), (72, 110, 0.52769995), (40, 94, 0.7392667), (68, 94, 0.5559991), (102, 123, 0.775758), (130, 133, 0.64343184), (159, 142, 0.7203397), (59, 148, 0.37292564), (27, 118, 0.3288766), (78, 158, 0.3838961), (101, 100, 0.6821082), (103, 103, 0.43013278), (89, 100, 0.5471972)]]","[-153.434948822922, 19.65382405805331, -153.434948822922, 0.0, 19.65382405805331, 17.241459398939973, 134.02897806892082, -136.8476102659946, 38.10757687751486, -54.16234704572171, 56.309932474020215, -167.90524292298792, -45.0]"
Akarna_Dhanurasana_0_350.jpg,35,Shooting Bow,"[[(91, 100, 0.7087608), (88, 114, 0.59362465), (75, 115, 0.5163216), (100, 114, 0.64998645), (125, 132, 0.6192213), (148, 144, 0.70338446), (76, 161, 0.36317915), (94, 158, 0.3142492), (119, 134, 0.47516507), (99, 163, 0.20148432), (85, 99, 0.7966221), (94, 95, 0.81293476), (79, 103, 0.5833377)]]","[175.6012946450045, 26.56505117707799, -2.2906100426385296, 35.75388725443675, 166.71513351509782, -9.462322208025617, 32.82854179141253, 124.59228868750995, -102.3390872783262, -72.47443162627712, 151.92751306414706, -77.9052429229879]"
Akarna_Dhanurasana_0_4.jpg,35,Shooting Bow,"[[(68, 79, 0.14390543), (79, 90, 0.15851301), (97, 75, 0.18387425)]]","[-39.80557109226519, -135.0]"
Akarna_Dhanurasana_0_71.jpg,35,Shooting Bow,"[[(123, 96, 0.183031), (125, 103, 0.34317967), (113, 113, 0.24125382), (138, 90, 0.47602135), (158, 70, 0.3929075), (52, 134, 0.2513388), (55, 133, 0.20913406), (115, 94, 0.19337972), (123, 93, 0.20299523), (110, 95, 0.1815646), (124, 89, 0.26790258)]]","[140.19442890773482, 156.99112991717712, -42.61405596961119, -45.0, -18.43494882292201, -33.02386755579665, -101.30993247402021, 171.2538377374448, -23.19859051364819, -105.94539590092286]"
Akarna_Dhanurasana_1.jpg,35,Shooting Bow,"[[(127, 90, 0.23137109), (173, 166, 0.121504776), (106, 80, 0.27207178), (134, 75, 0.18758236)]]","[-127.92107839538778, -10.124671655397817, -121.18497465873838]"
Akarna_Dhanurasana_10.jpg,35,Shooting Bow,"[[(110, 86, 0.70611703), (88, 100, 0.5654901), (70, 98, 0.43516037), (40, 100, 0.4994522), (50, 129, 0.12371734), (104, 104, 0.7056463), (133, 119, 0.6370673), (172, 129, 0.36507282), (60, 148, 0.11253711), (81, 153, 0.11282775), (108, 80, 0.79043144), (110, 81, 0.14127369), (94, 79, 0.6530072)]]","[-173.6598082540901, 14.036243467926479, 176.18592516570965, 70.97439396243132, 27.34987578006988, 14.381394591090604, 120.25643716352927, 13.392497753751098, -69.7024302277713, -40.81508387488159, -172.8749836510982, -32.47119229084849]"
Akarna_Dhanurasana_101.jpg,35,Shooting Bow,"[[(106, 75, 0.77866673), (86, 95, 0.41617036), (69, 98, 0.4592441), (102, 114, 0.17308265), (64, 84, 0.1138377), (69, 60, 0.19165543), (102, 94, 0.37401032), (102, 70, 0.8337482), (87, 74, 0.7269172)]]","[169.9920201985587, -115.90650799951439, 25.866356794094518, -141.70983680775691, 45.85509739626673, -90.0, -87.27368900609373, -45.0]"
Akarna_Dhanurasana_102.jpg,35,Shooting Bow,"[[(92, 95, 0.7641997), (73, 41, 0.1668784), (74, 115, 0.5914456), (68, 40, 0.6717249), (59, 118, 0.5367573), (49, 41, 0.6504476), (36, 124, 0.23746075), (45, 74, 0.5629351), (50, 99, 0.514819), (93, 114, 0.6773888), (87, 36, 0.5500267), (116, 142, 0.7110194), (97, 51, 0.58158016), (145, 167, 0.60183275), (98, 78, 0.5632646), (64, 161, 0.30070177), (63, 89, 0.3485787), (91, 158, 0.3614485), (86, 84, 0.34190878), (88, 90, 0.68696606), (93, 93, 0.29585707), (74, 40, 0.15948951), (75, 94, 0.3225793)]]","[89.22577983507195, 180.0, -94.57392125990086, 96.58194465517802, 98.901716032892, -79.79602627826831, 111.63088683651792, 19.230672375661285, -94.39870535499554, 66.93848046770647, -101.79342968491048, 67.5205656028969, 70.61548432064217, -70.5599651718238, 162.5528115767178, 112.98871680208065, -6.34019174590991, 68.4286928087454, 73.73979529168804]"
